animal_name,type,diet,conservation_status,conservation,habitats,status,diet_type,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,class_number,class_type_class,animal_names,ecosystem_type,predator_score
aardvark,savanna,insectivore,least concern,unknown,unknown,unknown,unknown,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,unknown,unknown,unknown,0,1
antelope,grasslands,herbivore,unknown,near threatened,unknown,unknown,unknown,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,unknown,unknown,unknown,0,1
bass,freshwater,carnivore,least concern,unknown,unknown,unknown,unknown,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,unknown,unknown,unknown,1,3
bear,unknown,omnivore,vulnerable,unknown,forest,unknown,unknown,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,unknown,unknown,unknown,3,2
boar,forest,omnivore,unknown,unknown,unknown,least concern,unknown,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,unknown,unknown,unknown,0,2
buffalo,grasslands,unknown,unknown,endangered,unknown,unknown,herbivore,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,unknown,unknown,unknown,0,1
calf,domestic,herbivore,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,unknown,unknown,unknown,0,1
carp,freshwater,omnivore,least concern,unknown,unknown,unknown,unknown,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,unknown,unknown,unknown,1,2
catfish,freshwater,carnivore,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,unknown,unknown,unknown,1,3
clam,marine,filter feeder,least concern,unknown,unknown,unknown,unknown,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,unknown,unknown,unknown,2,1
crab,marinecoastal,omnivore,unknown,least concern,unknown,unknown,unknown,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,unknown,unknown,unknown,2,2
deer,forest,herbivore,vulnerable,unknown,unknown,unknown,unknown,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,unknown,unknown,unknown,0,1
cavy,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,unknown,unknown,unknown,3,1
cheetah,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,unknown,unknown,unknown,3,1
chicken,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,unknown,unknown,unknown,3,1
chub,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,unknown,unknown,unknown,3,1
crayfish,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,unknown,unknown,unknown,3,1
crow,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,unknown,unknown,unknown,3,1
dogfish,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,unknown,unknown,unknown,3,1
dolphin,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,unknown,unknown,unknown,3,1
dove,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,unknown,unknown,unknown,3,1
duck,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,unknown,unknown,unknown,3,1
elephant,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,unknown,unknown,unknown,3,1
flamingo,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,unknown,unknown,unknown,3,1
flea,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,unknown,unknown,unknown,3,1
frog,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,unknown,unknown,unknown,3,1
fruitbat,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,unknown,unknown,unknown,3,1
giraffe,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,unknown,unknown,unknown,3,1
girl,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,unknown,unknown,unknown,3,1
gnat,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,unknown,unknown,unknown,3,1
goat,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,unknown,unknown,unknown,3,1
gorilla,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,unknown,unknown,unknown,3,1
gull,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,unknown,unknown,unknown,3,1
haddock,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,unknown,unknown,unknown,3,1
hamster,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,unknown,unknown,unknown,3,1
hare,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,unknown,unknown,unknown,3,1
hawk,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,unknown,unknown,unknown,3,1
herring,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,unknown,unknown,unknown,3,1
honeybee,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,unknown,unknown,unknown,3,1
housefly,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,unknown,unknown,unknown,3,1
kiwi,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,unknown,unknown,unknown,3,1
ladybird,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,unknown,unknown,unknown,3,1
lark,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,unknown,unknown,unknown,3,1
leopard,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,unknown,unknown,unknown,3,1
lion,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,unknown,unknown,unknown,3,1
lobster,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,unknown,unknown,unknown,3,1
lynx,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,unknown,unknown,unknown,3,1
mink,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,unknown,unknown,unknown,3,1
mole,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,unknown,unknown,unknown,3,1
mongoose,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,unknown,unknown,unknown,3,1
moth,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,unknown,unknown,unknown,3,1
newt,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,unknown,unknown,unknown,3,1
octopus,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,unknown,unknown,unknown,3,1
opossum,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,unknown,unknown,unknown,3,1
oryx,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,unknown,unknown,unknown,3,1
ostrich,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,unknown,unknown,unknown,3,1
parakeet,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,unknown,unknown,unknown,3,1
penguin,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,unknown,unknown,unknown,3,1
pheasant,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,unknown,unknown,unknown,3,1
pike,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,unknown,unknown,unknown,3,1
piranha,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,unknown,unknown,unknown,3,1
pitviper,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,unknown,unknown,unknown,3,1
platypus,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,unknown,unknown,unknown,3,1
polecat,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,unknown,unknown,unknown,3,1
pony,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,unknown,unknown,unknown,3,1
porpoise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,unknown,unknown,unknown,3,1
